zone_id,delivery_distance_actual_m,straight_line_distance_m,total_orders,monthly_orders,mom_change,cluster_log_monthly_orders_label,cluster_straight_line_distance_label,mkt_classification
43130,1866.65208343262,1407.6258081939347,46273,23136.5,-46.22312319298129,Large,Medium,6
43150,2085.821032939623,1550.3407673684983,20302,10151.0,-47.43368152100398,Medium,Medium,6
43750,1710.303233256351,1250.6540415704387,3253,1626.5,-51.86703096539163,Medium,Short,0
43770,1558.7508451656524,1127.0922920892494,2093,1046.5,-31.88755020080321,Medium,Short,0
44131,2207.9111648601033,1537.054873739636,75900,37950.0,-54.28225852899956,Large,Medium,7
44133,2018.9652321473523,1391.241556502643,165364,82682.0,-37.76391178086492,Large,Short,7
44150,1804.6908763013362,1284.5210263136323,8978,4489.0,-46.68715846994536,Medium,Short,6
44180,1775.8145379354223,1253.5314140289486,4701,2350.5,-50.14344915524387,Medium,Short,6
44200,2014.0049400141143,1399.965035908506,71970,35985.0,-51.114007323279345,Large,Short,7
44210,1612.2873446934968,1228.3728304511396,24421,12210.5,-43.77558853633572,Medium,Short,6
44230,1661.066992737513,1209.358233288869,5004,2502.0,-49.186256781193485,Medium,Short,6
44270,1714.4277975766215,1222.0175338560227,20761,10380.5,-47.44654272907635,Medium,Short,6
44800,1823.5186368477102,1178.9465388711394,3441,1720.5,-44.43942133815552,Medium,Short,0
44810,1119.8333333333333,694.8333333333334,6,6.0,,Small,Short,0
45111,1942.8518289764218,1421.8972638698021,94392,47196.0,-43.322378249178364,Large,Medium,7
45113,1898.6669695554328,1364.788476073203,87197,43598.5,-48.45319614863221,Large,Short,7
45130,1975.7609155606847,1455.0368952071203,41908,20954.0,-45.35222701944721,Large,Medium,7
45140,1905.3013698630136,1431.1551253506423,60096,30048.0,-48.13888257145023,Large,Medium,7
45180,1895.5771012574453,1449.4556585043017,4480,2240.0,-48.23848238482385,Medium,Medium,6
45710,1903.5543947308654,1280.399500340677,3078,1539.0,-22.59365994236311,Medium,Short,7
46110,1894.042241077531,1370.6236309990165,46458,23229.0,-51.23919308357349,Large,Short,6
46130,2223.89163923634,1532.827465437788,55801,27900.5,-45.79821482852958,Large,Medium,6
46150,1977.4978687969287,1389.0469852650594,52360,26180.0,-47.91890557378954,Large,Short,7
46170,1659.3407954945442,1074.6285814853925,10883,5441.5,-48.38395096127055,Medium,Short,6
46230,2195.659230366741,1459.2816914807593,16425,8212.5,-49.49143223678182,Medium,Medium,6
46840,1655.6667604524225,1228.750830003939,13535,6767.5,-47.85296762589928,Medium,Short,6
47111,2080.4669017090637,1399.9329338666582,46770,23385.0,-45.68939918835989,Large,Short,6
47113,2011.1245014436313,1374.3862754314107,54735,27367.5,-42.04374927854092,Large,Short,6
47130,2207.3355902777776,1586.1197172619047,30421,15210.5,-49.735737219066436,Large,Medium,6
47150,2181.906576707999,1463.2497568684657,12074,6037.0,-45.69968051118211,Medium,Medium,6
47170,1978.8288368123933,1393.428777734016,23241,11620.5,-50.88540998331836,Medium,Short,6
47190,1913.979411964551,1324.9832752545597,75823,37911.5,-46.59288633512726,Large,Short,6
47210,1867.9277464410422,1400.160623153371,2725,1362.5,-44.107551487414185,Medium,Short,6
47230,3692.6666666666665,2605.0,3,3.0,,Small,Long,6
47250,1623.7653104925053,1240.118415417559,3522,1761.0,-54.161490683229815,Medium,Short,6
47290,2059.5672329839535,1425.8445476732259,63297,31648.5,-47.708298246036144,Large,Medium,7
47850,2242.95542180965,1414.561562786902,7680,3840.0,-63.39381003201707,Medium,Medium,0
47900,1389.677108433735,914.5710843373494,313,156.5,-29.891304347826086,Small,Short,6
48121,1832.3240482822655,1311.213308573197,36082,18041.0,-49.96465549503098,Large,Short,7
48123,1834.585632137917,1310.1789580784928,63365,31682.5,-41.11083249749248,Large,Short,7
48125,1744.6359639420418,1278.7266618736865,26999,13499.5,-50.916620651573716,Large,Short,7
48127,1810.4745460354652,1318.0792640715692,27831,13915.5,-46.17807992041121,Large,Short,7
48129,1694.1227916020116,1203.3926227822542,38955,19477.5,-42.88537549407115,Large,Short,7
48170,1927.2157485210446,1369.9818380496627,78303,39151.5,-47.14506022214848,Large,Short,6
48220,2239.403591558527,1485.3029230567572,11538,5769.0,-46.36484687083888,Medium,Medium,6
48240,2027.3081039755352,1459.6424566768603,6212,3106.0,-54.38349742147211,Medium,Medium,6
48250,1916.2720137046736,1268.904050097686,128844,64422.0,-47.40631957932636,Large,Short,7
48270,1929.3398683247988,1430.1147037307974,5463,2731.5,-50.49261083743842,Medium,Medium,6
48310,1950.046327400351,1331.0641263474556,29661,14830.5,-49.30650815424478,Large,Short,6
48330,1951.6490655800228,1309.7225445129172,73093,36546.5,-45.511804366664556,Large,Short,6
50110,1744.4612170744067,1300.3863143821363,137737,68868.5,-46.024772508775456,Large,Short,7
50130,1528.7274996434176,1120.1760091285123,11016,5508.0,-51.616379310344826,Medium,Short,6
