entity_id,control_avg_orders,control_avg_flgp,control_users,a_only_avg_orders,a_only_avg_flgp,a_only_users,b_only_avg_orders,b_only_avg_flgp,b_only_users,ab_avg_orders,ab_avg_flgp,ab_users,orders_per_user_bias,impact_on_total_orders,flgp_per_user_bias,impact_on_total_flgp,test_id_1,test_id_2
AP_PA,9.035555555555556,18.094920024763823,225,8.268542199488493,15.354068783553949,391,8.156756756756756,14.800832460426781,185,7.776995305164323,13.906561920603533,426,0.3873,165.0,1.8466,786.65,106,116
AP_PA,5.354461041582563,10.026242880475124,4954,5.314602372156362,9.627908634134753,10286,5.437792767472364,10.210523024825978,10674,5.434450242607364,9.824949793628269,21846,0.0365,797.0,0.0128,279.63,106,117
AP_PA,4.689842805320433,8.386782082346393,13232,4.4198100764969785,7.596025646073718,7582,2.4172661870503607,2.8517636899070036,417,4.725312934631442,7.953805955263178,20132,2.5781,51902.0,5.8928,118633.85,106,128
AP_PA,4.373713191285612,8.05911232425229,4177,4.395187043795622,7.671966982316242,8768,4.4728211357424845,7.92046566280088,9879,4.559823044439978,7.746505362156647,19892,0.0655,1303.0,0.2132,4240.97,106,130
AP_PA,4.599630996309963,7.931762361512096,542,5.043264503441492,8.56427449147094,1017,5.190291262135924,9.94062999910136,515,4.857142857142859,7.629735774218502,1050,-0.7768,-816.0,-2.9434,-3090.57,106,131
AP_PA,4.59572147651007,8.371296412359413,11920,2.6032689450222875,3.5042689488653194,673,2.329246935201401,2.9270956242484027,571,4.7076655439167805,7.935937423179219,27017,4.3709,118089.0,9.8759,266817.19,106,132
AP_PA,4.497933884297523,8.37226947803868,1936,4.607450582868732,8.128253353646555,3946,4.721869279638206,8.439921185126403,9287,4.758627957215864,8.049296259069173,18979,-0.0728,-1382.0,-0.1466,-2782.32,106,135
AP_PA,5.73566433566434,10.526730652345288,1430,5.705762018411183,10.125526815057539,2933,6.028860028860026,10.629861691273428,1386,5.786374529270795,10.23191679299807,2921,-0.2126,-621.0,0.0033,9.64,106,151
AP_PA,0.24032351242056602,-0.009370518465814784,1731,0.24253285543608122,0.004358706003724308,1674,0.17629889083479267,-0.07925706935162016,1713,0.19827089337175807,-0.019498416562971927,1735,0.0198,34.0,0.046,79.81,107,128
AP_PA,0.25846035854664,-0.09184566579236603,20862,0.15990453460620538,-0.03353678926905661,419,0.07220216606498198,-0.03739415507967084,277,0.2348121212121204,-0.029337960112683345,20625,0.2612,5387.0,-0.0503,-1037.44,107,131
AP_PA,0.3261250730566919,-0.03493743157641191,1711,0.23266078184110972,0.029628442041580726,1586,0.2428400954653937,0.02703968388476337,1676,0.3242589231699937,0.05843096619109795,1653,0.1749,289.0,-0.0332,-54.88,107,143
AP_PA,0.24583333333333324,-0.10987999216764659,2160,0.22733953944145052,-0.08044930202273422,2041,0.21308225966303299,-0.08793618071393114,2018,0.1966824644549762,-0.05102294096301025,2110,0.0021,4.0,0.0075,15.82,107,146
AP_PA,0.2174688057040999,-0.1512267650801566,561,0.20222634508348786,0.01577919478994722,539,0.2944444444444445,0.08688249062576373,540,0.23204419889502811,0.03458662491080401,543,-0.0472,-26.0,-0.2193,-119.08,107,150
AP_PA,0.5523715415019765,0.28453518298779645,2024,0.4144144144144144,0.18909189524717673,111,0.47008547008547025,0.29716018173182507,117,0.5615819209039541,0.24371716818058464,4425,0.2295,1016.0,0.042,185.85,108,112
AP_PA,0.5778301886792456,0.2900134928488803,424,0.5336956521739128,0.21351145391278434,920,0.5337837837837833,0.21256977431096272,888,0.5669500531349634,0.20130840984059714,1882,0.0773,145.0,0.0652,122.71,108,117
AP_PA,0.5459770114942529,0.26517642255196405,174,0.5591715976331363,0.33325389485239865,338,0.43478260869565216,0.25348894511453274,184,0.4894179894179895,0.2399400095005773,378,0.0414,16.0,-0.0816,-30.84,108,128
AP_PA,0.49218750000000006,0.2317131509792864,384,0.5527318932655654,0.2304264750452235,787,0.4680603948896632,0.26738297915196535,861,0.5111856823266219,0.18974326513503456,1788,-0.0174,-31.0,-0.0764,-136.6,108,130
