entity_id,session_key,session_id_impressions,session_id_order,platform_order_code,df_dps,df_impressions,delivery_fee_eur,dps_delivery_fee_eur
MJM_AT,USXPVUXq9sVPMDQXfwz+pg==,1718971072135.0829598548.oaapkolgzj,,,2.49,2.49,,
MJM_AT,USXPVUXq9sVPMDQXfwz+pg==,1718971072135.0829598548.oaapkolgzj,1718971072135.0829598548.oaapkolgzj,qykl-2425-olni,4.29,4.29,1.290000000,1.290000000
MJM_AT,USXPVUXq9sVPMDQXfwz+pg==,1718971072135.0829598548.oaapkolgzj,,,4.99,4.99,,
MJM_AT,USXPVUXq9sVPMDQXfwz+pg==,1718971072135.0829598548.oaapkolgzj,,,0.0,0.0,,
MJM_AT,USXPVUXq9sVPMDQXfwz+pg==,1718971072135.0829598548.oaapkolgzj,,,3.99,3.99,,
MJM_AT,USXPVUXq9sVPMDQXfwz+pg==,1718971072135.0829598548.oaapkolgzj,,,0.99,0.99,,
MJM_AT,USXPVUXq9sVPMDQXfwz+pg==,1718971072135.0829598548.oaapkolgzj,,,2.49,2.49,,
MJM_AT,USXPVUXq9sVPMDQXfwz+pg==,1718971072135.0829598548.oaapkolgzj,,,3.99,3.99,,
MJM_AT,USXPVUXq9sVPMDQXfwz+pg==,1718971072135.0829598548.oaapkolgzj,,,0.99,0.99,,
MJM_AT,USXPVUXq9sVPMDQXfwz+pg==,1718971072135.0829598548.oaapkolgzj,,,0.0,1.79,,
MJM_AT,USXPVUXq9sVPMDQXfwz+pg==,1718971072135.0829598548.oaapkolgzj,,,3.99,3.99,,
MJM_AT,USXPVUXq9sVPMDQXfwz+pg==,1718971072135.0829598548.oaapkolgzj,,,3.99,3.99,,
MJM_AT,USXPVUXq9sVPMDQXfwz+pg==,1718971072135.0829598548.oaapkolgzj,,,3.99,3.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,0.0,0.0,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,0.0,0.0,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,4.99,4.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,4.99,4.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,3.99,3.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,4.99,4.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,3.99,3.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,3.99,3.99,,
